participantID,trialNumber,response,correctness,startTimestamp,endTimestamp,reactionTime,sampleNumber,sampleOrder,sampleTime,comparisonTime,condition
1,51,left,True,2024-06-24 10:56:25.527,2024-06-24 10:56:30.440,4.913,10,left,12000,24000,VH
1,52,right,True,2024-06-24 10:56:52.543,2024-06-24 10:56:58.473,5.93,20,right,12000,24000,VH
1,53,left,True,2024-06-24 10:57:20.579,2024-06-24 10:57:25.157,4.578,36,left,12000,24000,VH
1,54,left,True,2024-06-24 10:57:47.261,2024-06-24 10:57:53.240,5.979,2,left,12000,24000,VH
1,55,right,True,2024-06-24 10:58:15.344,2024-06-24 10:58:20.224,4.88,44,right,12000,24000,VH
1,56,left,True,2024-06-24 10:58:42.327,2024-06-24 10:58:46.107,3.78,32,left,12000,24000,VH
1,57,left,True,2024-06-24 10:59:08.210,2024-06-24 10:59:15.357,7.147,24,left,12000,24000,VH
1,58,right,True,2024-06-24 10:59:37.461,2024-06-24 10:59:40.674,3.213,26,right,12000,24000,VH
1,59,left,True,2024-06-24 11:00:02.777,2024-06-24 11:00:05.107,2.33,78,left,12000,24000,VH
1,60,left,True,2024-06-24 11:00:27.209,2024-06-24 11:00:30.441,3.232,50,left,12000,24000,VH
1,61,right,True,2024-06-24 11:00:52.538,2024-06-24 11:00:58.274,5.736,3,right,12000,24000,V
1,62,left,True,2024-06-24 11:01:20.356,2024-06-24 11:01:26.091,5.735,21,left,12000,24000,V
1,63,left,True,2024-06-24 11:01:48.188,2024-06-24 11:01:54.191,6.003,15,left,12000,24000,V
1,64,right,True,2024-06-24 11:02:16.270,2024-06-24 11:02:22.358,6.088,87,right,12000,24000,V
1,65,left,True,2024-06-24 11:02:44.435,2024-06-24 11:02:50.224,5.789,89,left,12000,24000,V
1,66,left,True,2024-06-24 11:03:12.304,2024-06-24 11:03:17.991,5.687,57,left,12000,24000,V
1,67,right,True,2024-06-24 11:03:40.090,2024-06-24 11:03:44.191,4.101,39,right,12000,24000,V
1,68,left,True,2024-06-24 11:04:06.287,2024-06-24 11:04:13.874,7.587,65,left,12000,24000,V
1,69,left,True,2024-06-24 11:04:35.955,2024-06-24 11:04:42.808,6.853,91,left,12000,24000,V
1,70,right,True,2024-06-24 11:05:04.889,2024-06-24 11:05:10.508,5.619,7,right,12000,24000,V
1,71,right,True,2024-06-24 11:05:32.579,2024-06-24 11:05:35.658,3.079,37,right,12000,24000,V
1,72,left,True,2024-06-24 11:05:57.757,2024-06-24 11:06:01.958,4.201,45,left,12000,24000,V
1,73,right,True,2024-06-24 11:12:56.722,2024-06-24 11:13:00.209,3.487,55,right,12000,24000,V
1,74,right,True,2024-06-24 11:13:22.288,2024-06-24 11:13:26.025,3.737,67,right,12000,24000,V
1,75,left,True,2024-06-24 11:13:48.106,2024-06-24 11:13:52.442,4.336,79,left,12000,24000,V
1,76,right,True,2024-06-24 11:14:14.540,2024-06-24 11:14:20.509,5.969,27,right,12000,24000,V
1,77,right,True,2024-06-24 11:14:42.584,2024-06-24 11:14:51.442,8.858,13,right,12000,24000,V
1,78,left,True,2024-06-24 11:15:13.541,2024-06-24 11:15:18.092,4.551,35,left,12000,24000,V
1,79,right,True,2024-06-24 11:15:40.190,2024-06-24 11:15:44.859,4.669,43,right,12000,24000,V
1,80,right,True,2024-06-24 11:16:06.928,2024-06-24 11:16:12.809,5.881,49,right,12000,24000,V
1,81,left,True,2024-06-24 11:16:34.907,2024-06-24 11:16:37.309,2.402,29,left,12000,24000,V
1,82,right,True,2024-06-24 11:16:59.405,2024-06-24 11:17:03.876,4.471,59,right,12000,24000,V
1,83,right,True,2024-06-24 11:17:25.957,2024-06-24 11:17:34.909,8.952,81,right,12000,24000,V
1,84,left,True,2024-06-24 11:17:57.006,2024-06-24 11:18:02.043,5.037,73,left,12000,24000,V
1,85,right,True,2024-06-24 11:18:24.147,2024-06-24 11:18:28.443,4.296,38,right,12000,24000,VH
1,86,left,True,2024-06-24 11:18:50.545,2024-06-24 11:18:56.927,6.382,86,left,12000,24000,VH
1,87,left,True,2024-06-24 11:19:19.028,2024-06-24 11:19:26.460,7.432,96,left,12000,24000,VH
1,88,right,True,2024-06-24 11:19:48.563,2024-06-24 11:19:52.043,3.48,28,right,12000,24000,VH
1,89,left,True,2024-06-24 11:20:14.149,2024-06-24 11:20:18.910,4.761,42,left,12000,24000,VH
1,90,left,True,2024-06-24 11:20:41.012,2024-06-24 11:20:48.343,7.331,54,left,12000,24000,VH
1,91,right,True,2024-06-24 11:21:10.448,2024-06-24 11:21:17.010,6.562,76,right,12000,24000,VH
1,92,left,True,2024-06-24 11:21:39.113,2024-06-24 11:21:43.660,4.547,62,left,12000,24000,VH
1,93,right,True,2024-06-24 11:22:05.765,2024-06-24 11:22:15.876,10.111,34,right,12000,24000,VH
